REGION TYPE,REGION,YEAR,WEEK,%UNWEIGHTED ILI,ILITOTAL,NUM. OF PROVIDERS,TOTAL PATIENTS
States,Alabama,2010,40,2.13477,249,35,11664
States,Alaska,2010,40,0.875146,15,7,1714
States,Arizona,2010,40,0.674721,172,49,25492
States,Arkansas,2010,40,0.696056,18,15,2586
States,California,2010,40,1.95412,632,112,32342
States,Colorado,2010,40,0.660684,134,14,20282
States,Connecticut,2010,40,0.0783085,3,12,3831
States,Delaware,2010,40,0.100125,4,13,3995
States,District of Columbia,2010,40,2.80877,73,4,2599
States,Florida,2010,40,0.703367,225,105,31989
States,Georgia,2010,40,1.6049,647,62,40314
States,Hawaii,2010,40,1.02934,20,18,1943
States,Idaho,2010,40,0.414938,19,12,4579
States,Illinois,2010,40,1.28205,505,74,39390
States,Indiana,2010,40,0.518962,65,44,12525
States,Iowa,2010,40,0.563063,10,6,1776
States,Kansas,2010,40,0.442227,39,40,8819
States,Kentucky,2010,40,0.142932,19,14,13293
States,Louisiana,2010,40,2.28108,391,41,17141
States,Maine,2010,40,0.357724,22,30,6150
States,Maryland,2010,40,1.3192,117,17,8869
States,Massachusetts,2010,40,0.604621,168,56,27786
States,Michigan,2010,40,0.671831,98,47,14587
States,Minnesota,2010,40,0.5748,38,17,6611
States,Mississippi,2010,40,2.9098,491,42,16874
States,Missouri,2010,40,1.10176,106,33,9621
States,Montana,2010,40,0.0371195,1,7,2694
States,Nebraska,2010,40,2.19978,61,13,2773
States,Nevada,2010,40,1.66683,175,30,10499
States,New Hampshire,2010,40,0.0759301,3,21,3951
States,New Jersey,2010,40,2.31534,163,23,7040
States,New Mexico,2010,40,2.13191,160,23,7505
States,New York,2010,40,0.26299,37,91,14069
States,North Carolina,2010,40,0.53143,134,74,25215
States,North Dakota,2010,40,0.671355,42,19,6256
States,Ohio,2010,40,0.228257,29,36,12705
States,Oklahoma,2010,40,0.624179,19,17,3044
States,Oregon,2010,40,0.551334,37,20,6711
States,Pennsylvania,2010,40,0.703292,122,64,17347
States,Rhode Island,2010,40,0.235036,15,21,6382
States,South Carolina,2010,40,0.446127,33,25,7397
States,South Dakota,2010,40,1.10275,63,18,5713
States,Tennessee,2010,40,0.274655,32,52,11651
States,Texas,2010,40,2.06514,1050,98,50844
States,Utah,2010,40,0.747696,43,13,5751
States,Vermont,2010,40,1.47641,41,10,2777
States,Virginia,2010,40,1.14343,660,81,57721
States,Washington,2010,40,0.510041,16,17,3137
States,West Virginia,2010,40,1.59741,143,34,8952
States,Wisconsin,2010,40,0.465022,23,44,4946
States,Wyoming,2010,40,0.632911,32,28,5056
States,New York City,2010,40,1.18222,1059,40,89577
States,Alabama,2010,41,2.05999,239,31,11602
States,Alaska,2010,41,1.12827,19,7,1684
States,Arizona,2010,41,0.749939,183,49,24402
States,Arkansas,2010,41,0.674157,18,14,2670
States,California,2010,41,2.15266,742,122,34469
States,Colorado,2010,41,0.628621,115,12,18294
States,Connecticut,2010,41,0.238095,9,15,3780
States,Delaware,2010,41,0.36855,15,13,4070
States,District of Columbia,2010,41,2.89079,81,4,2802
States,Florida,2010,41,0.870614,267,107,30668
States,Georgia,2010,41,1.71307,702,63,40979
States,Hawaii,2010,41,1.75246,32,19,1826
States,Idaho,2010,41,1.45798,68,12,4664
States,Illinois,2010,41,1.45089,600,76,41354
States,Indiana,2010,41,0.653137,84,45,12861
States,Iowa,2010,41,0.860956,20,7,2323
States,Kansas,2010,41,0.57749,49,40,8485
States,Kentucky,2010,41,0.223975,23,14,10269
States,Louisiana,2010,41,2.04776,325,39,15871
States,Maine,2010,41,0.434855,26,29,5979
States,Maryland,2010,41,2.09879,99,17,4717
States,Massachusetts,2010,41,0.887866,216,54,24328
States,Michigan,2010,41,0.585011,95,53,16239
States,Minnesota,2010,41,0.541293,35,18,6466
States,Mississippi,2010,41,2.97075,523,45,17605
States,Missouri,2010,41,0.930521,90,32,9672
States,Montana,2010,41,0.180963,5,7,2763
States,Nebraska,2010,41,2.73532,68,12,2486
States,Nevada,2010,41,1.63633,187,33,11428
States,New Hampshire,2010,41,0.0924642,4,22,4326
States,New Jersey,2010,41,2.47836,189,24,7626
States,New Mexico,2010,41,1.9635,142,22,7232
States,New York,2010,41,0.369729,47,89,12712
States,North Carolina,2010,41,0.53653,141,77,26280
States,North Dakota,2010,41,0.721961,43,19,5956
States,Ohio,2010,41,0.361628,55,44,15209
States,Oklahoma,2010,41,0.958678,29,17,3025
States,Oregon,2010,41,0.624076,38,19,6089
States,Pennsylvania,2010,41,0.910726,157,64,17239
States,Rhode Island,2010,41,0.201545,12,21,5954
